41.110.47.12 r1.sn-5abxgpxuxaxjvh-vbme.googlevideo.com
173.194.178.90 r8---sn-n8v7znlk.googlevideo.com
176.221.102.143 r4.sn-h0auphxqp5-f5fs.googlevideo.com
49.44.214.77 r2---sn-gwpa-25ue7.googlevideo.com
42.119.211.83 r8.sn-42u-8j5ll.googlevideo.com
49.44.139.77 r2---sn-gwpa-w5p6.googlevideo.com
87.245.216.145 r6.retnukr-kbp1.googlevideo.com
31.145.158.17 r6.sn-8vq54voxu-pnue.googlevideo.com
41.201.164.79 r4.sn-5abxgpxuxaxjvh-5abz.googlevideo.com
41.110.42.18 r7.sn-5abxgpxuxaxjvh-9n4e.googlevideo.com
49.231.115.16 r5---sn-5fo-c33ey.googlevideo.com
201.219.34.143 r4---sn-jou-0pve7.googlevideo.com
211.49.146.12 r1---sn-n3cgv5qc5oq-bh2l6.googlevideo.com
116.119.43.83 r8---sn-ci5gup-a3vl.googlevideo.com
128.22.15.78 r3.sn-3v2upjvh-3pmee.googlevideo.com
74.125.100.6 r1.sn-5hnekn7l.googlevideo.com
119.160.125.111 r4.sn-hvcpapo3-3ipl.googlevideo.com
113.171.203.79 r4.sn-8qj-i5os7.googlevideo.com
128.75.235.207 r4---sn-8ph2xajvh-3ggl.googlevideo.com
190.218.220.140 r1---sn-j5caxvoq5-25je.googlevideo.com
42.119.208.207 r4.sn-42u-nboel.googlevideo.com
207.255.30.77 r2.sn-5ua5oupjcc-wnul.googlevideo.com
182.79.130.78 r3---sn-ci5gup-jj06.googlevideo.com
203.113.189.48 r5.sn-8pxuuxa-83be.googlevideo.com
202.60.107.240 r5.sn-i5ovpuj-nboe.googlevideo.com
202.144.191.142 r3.sn-cxxapox-8uxe.googlevideo.com
182.79.131.140 r1---sn-ci5gup-pmwe.googlevideo.com
46.134.192.204 r1.sn-u2oxu-f5fe7.googlevideo.com
43.245.145.205 r2---sn-w5nuxa-c33ld.googlevideo.com
190.63.135.14 r3.sn-jvoxjxa-btxl.a1.googlevideo.com
213.44.19.209 r6.sn-cv0tb0xn-jqbel.googlevideo.com
186.225.141.141 r2---sn-npo5acg-nw2s.googlevideo.com
213.44.18.14 r3.sn-cv0tb0xn-gone.googlevideo.com
113.171.237.172 r1.sn-8qj-8j5el.googlevideo.com
115.87.70.82 r7.sn-5np5po4v-0u2l.googlevideo.com
118.98.36.83 r8.sn-2uuxa3vh-n0ce.googlevideo.com
191.242.112.111 r4.sn-2aphcg-jo4e.googlevideo.com
27.2.226.79 r4---sn-n5pbvoj5caxu8-q5qe.googlevideo.com
113.171.221.80 r5---sn-8qj-nbosz.googlevideo.com
201.0.236.83 r8---sn-8p8v-bg0sl.googlevideo.com
173.194.50.33 r15---sn-3c27sn76.googlevideo.com
182.79.138.12 r1---sn-ci5gup-25ul.googlevideo.com
118.98.109.14 r3.sn-2uuxa3vh-3ove.googlevideo.com
77.192.211.109 r2.sn-n4g-ouxs.googlevideo.com
157.20.147.42 r3---sn-oxu1xuxjiovavbt23-aixe.googlevideo.com
49.231.113.12 r1---sn-5fo-c33z.googlevideo.com
211.49.146.45 r2---sn-n3cgv5qc5oq-bh2ld.googlevideo.com
74.125.173.103 r2.sn-c0q7lnsl.googlevideo.com
103.3.32.206 r3---sn-905qg5ou-qxaz.googlevideo.com
5.22.189.205 r2.sn-ncc-cxb6.googlevideo.com
112.215.184.17 r6.sn-xmjxajvh-n0cs.googlevideo.com
80.84.190.78 r3---sn-xm2gxnn05-v1il.googlevideo.com
88.201.14.13 r2.sn-c5uxajv-c5il.googlevideo.com
209.85.226.102 r1---sn-5hne6ns6.googlevideo.com
87.246.1.78 r3.sn-bjo-nv4l.googlevideo.com
74.125.109.9 r4---sn-ntqe6n7r.googlevideo.com
187.86.12.174 r3---sn-5opq-j28l.googlevideo.com
42.114.77.207 r4.sn-42u-nbosr.googlevideo.com
1.225.35.112 r5---sn-n3cgv5qc5oq-bh2z7.googlevideo.com
201.47.158.16 r5.sn-b8u-btos.googlevideo.com
216.218.72.140 r1.sn-4uj-j5xe.googlevideo.com
223.62.225.80 r5.sn-n3hvcpax-bh2r.googlevideo.com
31.46.22.99 r16.sn-h5bt5guxax3vh-c0qk.googlevideo.com
103.235.124.12 r1.sn-3juw2-3pme.googlevideo.com
84.235.77.144 r5.sn-nuj-wxqe.googlevideo.com
203.76.223.13 r2.sn-coxucq-q5je.googlevideo.com
114.142.168.141 r2.sn-uigxxi0ujipnvo-nvjl.googlevideo.com
189.247.19.77 r2---sn-0opoxu-gxml.googlevideo.com
203.208.42.36 r18.sn-2x3een7l.googlevideo.com
181.47.254.79 r4---sn-uxaxjxougv-x1xr.googlevideo.com
201.0.240.243 r8---sn-8p8v-bg0l.googlevideo.com
209.226.57.206 r3---sn-cxaa5ap5ou-tmge.googlevideo.com
189.210.162.44 r1.sn-5muxa-hxmz.googlevideo.com
91.144.157.142 r3.sn-xguxaxjvh-ocje.googlevideo.com
78.37.100.204 r1---sn-gvnuxaxjvh-njfe.googlevideo.com
173.194.50.90 r8.sn-3c27sn7d.googlevideo.com
209.141.121.205 r2---sn-ntgpob5-naje.googlevideo.com
103.73.104.204 r1.sn-5oucq-q5je.googlevideo.com
